 | university_name | x_coor | y_coor |
| - | - | - |
|Athabasca University |53.49| 113.51|
|Xianyang Normal University |34.30| 108.76|
|Abo Akademi University |60.46| 22.29|
|Shaanxi Polytechnic Institute| 33.95| 108.71|
|Ningxia Normal University| 38.49| 106.25|
|Xi'an University| 34.56| 109.37|
|Pandit Deendayal Energy University|23.81|73.81|
|Manipal University Jaipur| 26.95| 73.81|
|Xi'an International Studies University|34.26| 108.92|
|University of Mannheim|49.47|8.46| 
| Xian Fanyi University|34.23 |108.98|
|University West - Sweden|58.40|12.12| 
|Tokyo Metropolitan University |35.68|139.75|
| Bremen University of Applied Sciences |53.07|8.74|
|Daffodil International University| 23.74|90.41|
|Shangluo University|33.87 |109.48|
|Shaanxi University of Chinese Medicine|34.16|108.97|
|Lanzhou University of Finance & Economics|36.05|103.76|
|National Institute of Measurement & Testing Technology |39.90| 116.34|
|Shaanxi Railway Institute|34.17|108.88|
|Medtronic |44.97|-93.33|
|Bank of Communications |31.23|121.48|
|Illinois State University|40.53|-89.00|
|University of Salamanca|40.97|-5.67|
|University Brunei Darussalam|4.94|114.93|
|Hellenic Mediterranean University |35.48|26.16|
|Tongling University|30.73|117.83|
|Auckland University of Technology|-36.85|174.76|
|SEGi University| 2.97|101.61|
|Samara State Technical University|53.20|50.21|
|Dalian Ocean University|38.91|121.47|
|The People's Hospital of Longhua Shenzhen|22.54|113.93|
|Uber Technologies Inc.|37.46|-122.16|
|Universidad Adolfo Ibanez|-33.40|70.65 |
|Chongqing Electric Power Corp|29.43|106.54|
|Eastern Michigan University |42.25|-83.61|
|Institut Teknologi Sepuluh Nopember|7.80|112.76|
|Waikato Institute of Technology |-37.78|175.30|
|South Dakota State University|44.31|-96.7|
|Guangzhou Civil Aviation College |23.13|113.31|
|Bayero University |11.99|8.42|
|National Heart Centre Singapore|1.31|103.84|
|University of Evansville|37.97|-87.56| 
|Wannan Medical College|31.70|118.39|
|University of West Attica|38.05|23.72|
|Gansu University of Chinese Medicine|36.04|103.82|
|Xizang Minzu University |29.68|91.13|
|University of Texas Health Science Center at San Antonio|29.48|-98.63|
|Xi'an Aeronautical Polytechnic Institute|34.36|108.96|
|Centre Internacional de Metodes Numerics en Enginyeria (CIMNE)|41.41|2.11|
